x,z,dist,ne
69107.7884943001,-24.4896827887988,530,0
69108.7884943001,-24.4779434889275,531,0
69109.7884943001,-24.4662041890572,532,0
69110.7884943001,-24.4544648891858,533,0
69111.7884943001,-24.4427255893156,534,0
69112.7884943001,-24.4309862894443,535,0
69113.7884943001,-24.4192635170921,536,0
69114.7884943001,-24.4080697020809,537,0
69115.7884943001,-24.3968758870708,538,0
69116.7884943001,-24.3856820720607,539,0
69117.7884943001,-24.3744882570496,540,0
69118.7884943001,-24.3632944420396,541,0
69119.7884943001,-24.3521006270285,542,0
69120.7884943001,-24.3409068120184,543,0
69121.7884943001,-24.3297129970072,544,0
69122.7884943001,-24.3185191819971,545,0
69123.7884943001,-24.3073253669859,546,0
69124.7884943001,-24.2961315519759,547,0
69125.7884943001,-24.2849377369648,548,0
69126.7884943001,-24.2737439219547,549,0
69127.7884943001,-24.2625501069434,550,0
69128.7884943001,-24.2513562919335,551,0
69129.7884943001,-24.2401624769223,552,0
69130.7884943001,-24.2289686619122,553,0
69131.7884943001,-24.2177748469012,554,0
69132.7884943001,-24.2065810318911,555,0
69133.7884943001,-24.19538721688,556,0
69134.7884943001,-24.1841934018697,557,0
69135.7884943001,-24.1729995868587,558,0
69136.7884943001,-24.1618057718486,559,0
69137.7884943001,-24.1506119568374,560,0
69138.7884943001,-24.1394181418275,561,0
69139.7884943001,-24.1282243268163,562,0
69140.7884943001,-24.1170305118061,563,0
69141.7884943001,-24.1058366967961,564,0
69142.7884943001,-24.094642881785,565,0
69143.7884943001,-24.0834490667749,566,0
69144.7884943001,-24.0722552517638,567,0
69145.7884943001,-24.0610614367538,568,0
69146.7884943001,-24.0498676217425,569,0
69147.7884943001,-24.0386738067324,570,0
69148.7884943001,-24.0274799917214,571,0
69149.7884943001,-24.0162861767113,572,0
69150.7884943001,-24.0050923617001,573,0
69151.7884943001,-23.9938985466901,574,0
69152.7884943001,-23.9827047316788,575,0
69153.7884943001,-23.9715109166688,576,0
69154.7884943001,-23.9603171016576,577,0
69155.7884943001,-23.9491232866476,578,0
69156.7884943001,-23.9379294716365,579,0
69157.7884943001,-23.9267356566264,580,0
69158.7884943001,-23.9155418416154,581,0
69159.7884943001,-23.9043480266051,582,0
69160.7884943001,-23.893154211594,583,0
69161.7884943001,-23.881960396584,584,0
69162.7884943001,-23.8707665815729,585,0
69163.7884943001,-23.8595727665628,586,0
69164.7884943001,-23.8483789515516,587,0
69165.7884943001,-23.8371851365415,588,0
69166.7884943001,-23.8259913215315,589,0
69167.7884943001,-23.8147975065203,590,0
69168.7884943001,-23.8037160694547,591,0
69169.7884943001,-23.7958860799158,592,0
69170.7884943001,-23.7880560903768,593,0
69171.7884943001,-23.7802261008386,594,0
69172.7884943001,-23.7723961113004,595,0
69173.7884943001,-23.7645661217616,596,0
69174.7884943001,-23.7567361322234,597,0
69175.7884943001,-23.7489061426845,598,0
69176.7884943001,-23.7410761531464,599,0
69177.7884943001,-23.7332461636074,600,0
69178.7884943001,-23.7254161740693,601,0
69179.7884943001,-23.7175861845304,602,0
69180.7884943001,-23.7097561949923,603,0
69181.7884943001,-23.7019262054534,604,0
69182.7884943001,-23.6940962159152,605,0
69183.7884943001,-23.6862662263764,606,0
69184.7884943001,-23.6784362368381,607,0
69185.7884943001,-23.6706062472992,608,0
69186.7884943001,-23.6627762577611,609,0
69187.7884943001,-23.6549462682221,610,0
69188.7884943001,-23.6470931209873,611,0
69189.7884943001,-23.6385926388283,612,0
69190.7884943001,-23.6300921566699,613,0
